ID_IPEDS,YEAR,ENROLL_FTUG,GRANT_FEDERAL,GRANT_STATE,NETPRICE,PUBLIC,DEGREE_BACH,TYPE,TN_PROMISE
219505,2010,8,19625,1000,17185,0,1,four-year private,0
219505,2011,14,43180,0,13016,0,1,four-year private,0
219505,2012,16,33500,1000,23507,0,1,four-year private,0
219505,2013,15,50527,2000,13011,0,1,four-year private,0
219505,2014,11,62508,19000,13273,0,1,four-year private,0
219505,2015,13,71002,5000,17655,0,1,four-year private,1
219578,2010,17,52356,55500,18214,0,1,four-year private,0
219578,2011,20,37684,75838,20137,0,1,four-year private,0
219578,2012,18,32425,66405,20153,0,1,four-year private,0
219578,2013,34,56441,80750,20892,0,1,four-year private,0
219578,2014,29,65177,41900,17117,0,1,four-year private,0
219578,2015,29,37713,32000,18708,0,1,four-year private,1
219587,2010,56,178068,0,13905,0,0,two-year private,0
219587,2011,48,147881,0,13927,0,0,two-year private,0
219587,2012,59,140147,0,15630,0,0,two-year private,0
219587,2013,45,149049,0,14777,0,0,two-year private,0
219587,2014,41,116857,0,15014,0,0,two-year private,0
219587,2015,44,104208,0,16318,0,0,two-year private,1
219596,2010,252,449860,387359,3062,1,0,two-year public,0
219596,2011,265,444772,343617,5285,1,0,two-year public,0
219596,2012,185,590013,327442,4959,1,0,two-year public,0
219596,2013,175,594472,372858,6008,1,0,two-year public,0
219596,2014,170,460857,327603,3360,1,0,two-year public,0
219596,2015,232,505470,438266,3717,1,0,two-year public,1
219602,2010,1478,3670314,4688179,10296,1,1,four-year public,0
219602,2011,1274,3289496,4411304,10985,1,1,four-year public,0
219602,2012,1182,3056096,4298313,10983,1,1,four-year public,0
219602,2013,1237,3015287,4511451,11417,1,1,four-year public,0
219602,2014,1184,2751898,4136736,12081,1,1,four-year public,0
219602,2015,1281,3399728,4378705,12688,1,1,four-year public,1
219639,2010,53,90417,181500,15105,0,1,four-year private,0
219639,2011,35,50905,146250,14075,0,1,four-year private,0
219639,2012,66,178321,361640,8885,0,1,four-year private,0
219639,2013,88,217878,504119,9385,0,1,four-year private,0
